"Reference","Qty","Value","Footprint","TME","LCSC"
"C1,C2,C3,C4","4","330u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","ECA1HM331",""
"J1","1","RJ45_LED_Shielded","Connector_RJ:RJ45_Amphenol_RJHSE538X","RJHSE538B",""
"J3","1","CAN1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","C158012"
"J4","1","CAN2","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","C158012"
"J5","1","CAN3","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","C158012"
"J6","1","CAN4","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","C158012"
"J7","1","PWR1","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","TB-5.0-K45-2P",""
"J8,J9,J10","3","PWR2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","TB-5.0-K45-2P",""
"J11,J14","2","PWR","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","TB-5.0-K45-2P",""
"J12,J13","2","CAN_HOST","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","C158012"
"R1,R2","2","0","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C2907215"
"R3,R4","2","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C2907232"
